IND,city,lat_city,lon_city
629,Breteuil,48.83639059999999,0.9160805
630,Bacouël,49.6181864,2.3850148
631,Brétigny-sur-Orge,48.6099887,2.3075288
632,Bretigny,47.3984947,5.0999025
634,Bretoncelles,48.4311734,0.8863650999999999
635,Thue et Mue,49.2138928,-0.5140368
636,Brettnach,49.2578615,6.5629868
637,Breuil-sur-Vesle,49.3097743,3.7669776
638,Breuillet,48.5668797,2.1729461
640,Bréval,48.9447453,1.5331842
641,Briançon,44.8984037,6.6436313
642,Briare,47.6410716,2.7413128
643,Briatexte,43.751,1.90721
644,Bricon,48.0809793,4.976742199999999
645,Bridoré,47.0282093,1.0824374
647,Brienon-sur-Armançon,47.9933948,3.6159046
648,Royères,45.8485642,1.4294482
649,Brignais,45.6739755,4.7540703
650,Villard-Bonnot,45.2384678,5.888210099999999
651,Brimeux,50.4456998,1.8346278
652,Laizy,46.9080545,4.2003983
653,Brion,46.9089085,4.2107196
654,Brion,46.1727,5.55309
655,Brion-près-Thouet,47.05168889999999,-0.1863429
656,Brionne,49.19489309999999,0.7181025
657,Brioude,45.293897,3.3853711
659,Briouze,48.6996275,-0.3670932
660,Brive-la-Gaillarde,45.1584982,1.5332389
661,Broons,48.3179354,-2.2620533
662,Brou,48.2156349,1.1660734
664,Saint-Symphorien-de-Marmagne,46.8392713,4.3311516
665,Bruère-Allichamps,46.76782,2.43129
666,Bruges,44.8842379,-0.6111474
667,Brulange,48.969782,6.5502965
668,Brumath,48.7309406,7.708107
670,Brunémont,50.271708,3.1413993
671,Brunoy,48.6979312,2.5044613
674,Saint-Gilles - Sint-Gillis,50.8249958,4.3454841
675,Bruyères,48.2115397,6.7204365
676,Bruyères-sur-Oise,49.1573165,2.3301301
677,Bruz,48.0245814,-1.7471629
678,Bry-sur-Marne,48.8352872,2.5193322
679,Hombourg-Budange,49.2959531,6.344634
680,Bueil,48.9301195,1.4415715
681,Bugeat,45.5975774,1.9281816
682,Buire-sur-l'Ancre,49.9651821,2.5925394
683,Basse-Allaine,47.47052428792801,7.042457430092767
684,Bulligny,48.575668,5.851389699999999
685,Bully-les-Mines,50.4464,2.71989
686,Buno-Bonnevaux,48.3594944,2.3889682
687,Bures-en-Bray,49.779538,1.3365365
688,Bures-sur-Yvette,48.6972179,2.1632719
689,Cierp-Gaud,42.9134556,0.6387284
690,Busigny,50.0350792,3.4692426
691,Bussac-Forêt,45.2127843,-0.3698474
692,Bussang,47.8856155,6.8554759
693,Ahun,46.0867617,2.0422672
694,Bussière-Galant,45.6268033,1.0362738
695,Bussy-Saint-Georges,48.8430257,2.6973858
697,Buswiller,48.8200323,7.559487099999999
698,Buvilly,46.8677048,5.719041199999999
699,Buxières-lès-Villiers,48.1050252,5.036537399999999
700,Buzançais,46.8885028,1.4227597
702,Buzy,43.1330738,-0.4600805
703,Buzy-Darmont,49.1691723,5.7095907
704,Byans-sur-Doubs,47.1162482,5.8555304
705,Cadaujac,44.7552279,-0.5300642999999999
706,Cadéac,42.8900189,0.3495071
707,Cadrieu,44.491566,1.8797469
708,Caen,49.1813403,-0.3635615
709,Caffiers,50.8412015,1.809751
710,Cagnes-sur-Mer,43.6612012,7.151383399999999
711,Cahors,44.4495,1.4364999
